date,open,high,low,close,volume
1657843200000,20578.6,21200.0,20364.3,20823.1,626763.692
1657929600000,20823.1,21580.0,20471.0,21183.5,539206.87
1658016000000,21183.6,21674.1,20742.0,20794.4,485537.728
1658102400000,20794.4,22800.0,20764.4,22423.9,982867.734
1658188800000,22423.5,23817.9,21575.0,23385.9,1124029.082
1658275200000,23385.9,24277.0,22912.4,23221.5,946647.815
1658361600000,23221.5,23441.1,22340.2,23144.5,723543.466
1658448000000,23144.5,23750.0,22500.0,22675.1,633907.934
1658534400000,22675.0,22990.0,21933.5,22440.2,505887.673
1658620800000,22440.1,22999.0,22256.4,22570.6,462958.953
1658707200000,22570.6,22656.8,21232.0,21300.0,695770.655
1658793600000,21300.0,21334.4,20689.6,21241.0,552498.903
1658880000000,21241.0,23100.0,21031.0,22941.1,753370.303
1658966400000,22941.1,24194.6,22583.1,23836.2,756741.836
1659052800000,23836.2,24500.0,23426.3,23771.1,642337.051
1659139200000,23771.0,24700.0,23505.0,23629.9,493824.816
1659225600000,23630.0,24187.3,23222.0,23290.1,385969.85
1659312000000,23290.1,23497.0,22836.2,23257.6,498378.292
1659398400000,23257.6,23448.7,22603.0,22975.1,625227.912
1659484800000,22975.1,23650.0,22665.3,22801.5,569261.768
1659571200000,22801.5,23211.3,22370.0,22608.9,548268.816
1659657600000,22608.9,23450.0,22580.6,23298.1,593992.13
1659744000000,23298.0,23341.8,22883.6,22943.3,227659.394
1659830400000,22943.2,23400.0,22830.9,23167.8,271512.062
1659916800000,23167.9,24243.0,23153.1,23804.4,565084.219
1660003200000,23804.3,23913.4,22850.0,23140.2,498286.943
1660089600000,23140.1,24235.2,22608.0,23940.9,760738.204
1660176000000,23941.0,24972.0,23840.6,23917.2,760455.245
1660262400000,23917.3,24438.8,23560.0,24387.5,477734.045
1660348800000,24387.5,24879.0,24267.5,24429.0,431093.659
1660435200000,24429.0,25065.0,24138.0,24294.1,437314.32
1660521600000,24294.1,25200.0,23762.0,24085.2,739390.721
1660608000000,24085.2,24234.0,23650.0,23843.0,460919.994
1660694400000,23843.0,24437.0,23170.0,23333.1,640600.903
1660780800000,23333.1,23595.0,23101.0,23185.1,347699.006
1660867200000,23185.0,23200.0,20760.0,20824.9,906609.825
1660953600000,20825.0,21368.9,20742.9,21127.8,490507.042
1661040000000,21127.7,21804.6,21055.0,21505.6,424282.424
1661126400000,21505.6,21550.0,20858.6,21387.0,588764.597
1661212800000,21387.0,21667.2,20874.8,21518.2,609745.27
1661299200000,21518.2,21925.6,21132.3,21354.9,502728.198
1661385600000,21355.0,21810.9,21295.3,21548.3,415757.992
1661472000000,21548.3,21867.6,20100.0,20228.7,896474.356
1661558400000,20228.7,20367.7,19744.0,20023.9,469598.024
1661644800000,20024.0,20155.0,19508.0,19547.5,386405.195
1661731200000,19547.5,20440.0,19539.4,20275.5,598076.669
1661817600000,20275.5,20574.0,19524.4,19803.1,767714.993
1661904000000,19803.2,20496.0,19787.9,20041.5,711639.339
1661990400000,20041.4,20198.3,19555.0,20122.5,691594.721
1662076800000,20122.6,20434.3,19736.0,19941.0,669047.816
1662163200000,19941.0,20050.0,19628.7,19820.7,285240.989
1662249600000,19820.7,20022.4,19570.0,19992.7,396798.184
1662336000000,19992.7,20046.7,19620.2,19784.9,446706.41
1662422400000,19784.9,20174.7,18600.0,18781.5,945489.142
1662508800000,18781.4,19455.0,18500.0,19287.0,595636.693
1662595200000,19287.0,19450.0,19003.8,19309.3,537268.644
1662681600000,19309.3,21666.0,19283.0,21352.0,992497.1
1662768000000,21352.0,21825.0,21112.2,21639.5,491543.206
1662854400000,21639.5,21883.4,21336.0,21820.3,420979.326
1662940800000,21820.3,22474.0,21540.0,22386.0,818601.932
1663027200000,22386.0,22850.0,19840.0,20162.5,1218769.927
1663113600000,20162.6,20528.5,19600.0,20217.0,661802.597
1663200000000,20217.0,20315.0,19453.0,19690.8,665862.067
1663286400000,19690.8,19878.0,19300.0,19792.5,544608.804
1663372800000,19792.4,20182.6,19739.4,20102.0,334678.558
1663459200000,20102.0,20105.3,19325.8,19404.5,499916.474
1663545600000,19404.5,19686.3,18215.0,19528.6,993776.352
1663632000000,19528.6,19625.0,18690.1,18866.8,794623.932
1663718400000,18866.7,20154.1,18084.3,18447.5,1168068.979
1663804800000,18447.5,19504.8,18345.2,19392.5,852898.391
1663891200000,19392.5,19492.0,18518.5,19280.7,838493.746
1663977600000,19280.7,19304.5,18798.0,18911.0,377158.215
