Date,AAPL,ADBE,ORCL,EBAY,MSFT,QCOM,HPQ,JNPR,AMD,IBM,SPY
2013-01-02,19.608213424682617,38.34000015258789,34.689998626708984,22.55471420288086,27.6200008392334,64.75,6.821072101593018,20.549999237060547,2.5299999713897705,187.71510314941406,146.05999755859375
2013-01-03,19.360713958740234,37.75,34.310001373291016,22.07491683959961,27.25,64.44999694824219,6.87556791305542,20.170000076293945,2.490000009536743,186.68260192871094,145.72999572753906
2013-01-04,18.821428298950195,38.130001068115234,34.61000061035156,22.213804244995117,26.739999771118164,63.5,6.87556791305542,20.3799991607666,2.5899999141693115,185.45889282226562,146.3699951171875
2013-01-07,18.71071434020996,37.939998626708984,34.43000030517578,22.52104377746582,26.690000534057617,64.01000213623047,6.8891921043396,20.149999618530273,2.6700000762939453,184.64627075195312,145.97000122070312
2013-01-08,18.761070251464844,38.13999938964844,34.439998626708984,22.171716690063477,26.549999237060547,63.90999984741211,6.989100933074951,19.719999313354492,2.6700000762939453,184.3881378173828,145.5500030517578
2013-01-09,18.467857360839844,38.65999984741211,34.459999084472656,22.205387115478516,26.700000762939453,64.87999725341797,7.198001861572266,19.950000762939453,2.630000114440918,183.86233520507812,145.9199981689453
2013-01-10,18.696786880493164,38.619998931884766,34.90999984741211,22.306396484375,26.459999084472656,64.77999877929688,7.393279075622559,20.299999237060547,2.619999885559082,184.397705078125,147.0800018310547
2013-01-11,18.582143783569336,38.09000015258789,34.86000061035156,22.601009368896484,26.829999923706055,64.9000015258789,7.338782787322998,20.65999984741211,2.6700000762939453,185.89866638183594,147.07000732421875
2013-01-14,17.91964340209961,38.15999984741211,34.959999084472656,22.38215446472168,26.889999389648438,64.23999786376953,7.697547912597656,20.81999969482422,2.640000104904175,184.14913940429688,146.97000122070312
2013-01-15,17.354286193847656,38.150001525878906,34.70000076293945,22.100168228149414,27.209999084472656,64.44000244140625,7.50681209564209,21.010000228881836,2.680000066757202,184.034423828125,147.07000732421875
2013-01-16,18.074642181396484,37.880001068115234,34.63999938964844,22.264310836791992,27.040000915527344,64.79000091552734,7.815621852874756,20.979999542236328,2.7200000286102295,184.12045288085938,147.0500030517578
2013-01-17,17.952856063842773,37.72999954223633,34.619998931884766,22.7988224029541,27.25,65.13999938964844,7.770208835601807,21.280000686645508,2.740000009536743,185.13385009765625,148.0
2013-01-18,17.85714340209961,37.97999954223633,35.11000061035156,22.815656661987305,27.25,64.68000030517578,7.770208835601807,21.489999771118164,2.4600000381469727,185.91778564453125,148.3300018310547
2013-01-22,18.02750015258789,37.95000076293945,34.93000030517578,22.462120056152344,27.149999618530273,64.68000030517578,7.833786964416504,21.5,2.450000047683716,187.4569854736328,149.1300048828125
2013-01-23,18.357500076293945,38.25,34.689998626708984,22.46632957458496,27.610000610351562,64.88999938964844,7.724795818328857,21.280000686645508,2.7300000190734863,195.71701049804688,149.3699951171875
2013-01-24,16.08928680419922,38.11000061035156,34.939998626708984,23.228113174438477,27.6299991607666,64.4000015258789,7.724795818328857,21.5,2.7899999618530273,195.43020629882812,149.41000366210938
2013-01-25,15.710000038146973,38.31999969482422,35.380001068115234,23.79208755493164,27.8799991607666,63.65999984741211,7.715713024139404,22.56999969482422,2.8499999046325684,195.95602416992188,150.25
2013-01-28,16.065357208251953,38.2400016784668,35.540000915527344,23.5479793548584,27.90999984741211,63.66999816894531,7.729337215423584,22.200000762939453,2.819999933242798,195.91778564453125,150.07000732421875
2013-01-29,16.366785049438477,38.52000045776367,35.779998779296875,23.425926208496094,28.010000228881836,63.45000076293945,7.484105110168457,21.579999923706055,2.740000009536743,194.93307495117188,150.66000366210938
2013-01-30,16.315357208251953,37.939998626708984,35.380001068115234,23.476430892944336,27.850000381469727,63.529998779296875,7.447774887084961,21.579999923706055,2.6500000953674316,194.56979370117188,150.07000732421875
2013-01-31,16.267499923706055,37.83000183105469,35.5099983215332,23.556396484375,27.450000762939453,66.0199966430664,7.4977288246154785,22.3799991607666,2.5999999046325684,194.1395721435547,149.6999969482422
2013-02-01,16.200714111328125,38.34000015258789,36.209999084472656,24.078283309936523,27.93000030517578,66.7300033569336,7.475022792816162,22.31999969482422,2.5999999046325684,196.1567840576172,151.24000549316406
2013-02-04,15.79714298248291,38.099998474121094,35.130001068115234,23.438552856445312,27.440000534057617,65.63999938964844,7.347866058349609,22.239999771118164,2.5199999809265137,194.82791137695312,149.5399932861328
2013-02-05,16.351428985595703,38.5099983215332,35.47999954223633,23.745790481567383,27.5,66.94999694824219,7.543142795562744,22.389999389648438,2.5999999046325684,193.87188720703125,151.0500030517578
2013-02-06,16.33392906188965,38.400001525878906,35.099998474121094,23.615320205688477,27.34000015258789,67.18000030517578,7.57947301864624,22.3799991607666,2.5999999046325684,192.1797332763672,151.16000366210938
2013-02-07,16.722143173217773,38.06999969482422,34.560001373291016,23.623737335205078,27.280000686645508,66.54000091552734,7.465939998626709,22.3700008392334,2.569999933242798,190.95602416992188,150.9600067138672
2013-02-08,16.963571548461914,39.119998931884766,34.900001525878906,23.829965591430664,27.549999237060547,66.94999694824219,7.661217212677002,21.84000015258789,2.5899999141693115,192.81069946289062,151.8000030517578
2013-02-11,17.140356063842773,38.63999938964844,34.959999084472656,23.7415828704834,27.860000610351562,67.18000030517578,7.643052101135254,21.709999084472656,2.6700000762939453,191.35755920410156,151.77000427246094
2013-02-12,16.71071434020996,38.88999938964844,35.11000061035156,23.897306442260742,27.8799991607666,65.88999938964844,7.765667915344238,21.610000610351562,2.7699999809265137,191.24282836914062,152.02000427246094
