1INCH/BTC
1INCH/EUR
1INCH/GBP
1INCH/USD
AAVE/BTC
AAVE/EUR
AAVE/GBP
AAVE/USD
ABT/USD
ACH/USD
ACH/USDT
ADA/BTC
ADA/ETH
ADA/EUR
ADA/GBP
ADA/USD
ADA/USDC
ADA/USDT
AERGO/USD
AGLD/USD
AGLD/USDT
AIOZ/USD
AIOZ/USDT
ALCX/EUR
ALCX/USD
ALCX/USDT
ALEPH/USD
ALGO/BTC
ALGO/EUR
ALGO/GBP
ALGO/USD
ALICE/USD
AMP/USD
ANKR/BTC
ANKR/EUR
ANKR/GBP
ANKR/USD
APE/EUR
APE/USD
APE/USDT
API3/USD
API3/USDT
ARPA/EUR
ARPA/USD
ARPA/USDT
ASM/USD
ASM/USDT
AST/USD
ATA/USD
ATA/USDT
ATOM/BTC
ATOM/EUR
ATOM/GBP
ATOM/USD
ATOM/USDT
AUCTION/EUR
AUCTION/USD
AUCTION/USDT
AURORA/USD
AVAX/BTC
AVAX/EUR
AVAX/USD
AVAX/USDT
AVT/USD
AXS/BTC
AXS/EUR
AXS/USD
AXS/USDT
BADGER/EUR
BADGER/USD
BADGER/USDT
BAL/BTC
BAL/USD
BAND/BTC
BAND/EUR
BAND/GBP
BAND/USD
BAT/BTC
BAT/ETH
BAT/EUR
BAT/USD
BAT/USDC
BCH/BTC
BCH/EUR
BCH/GBP
BCH/USD
BICO/EUR
BICO/USD
BICO/USDT
BIT/USD
BIT/USDT
BLZ/USD
BNT/BTC
BNT/EUR
BNT/GBP
BNT/USD
BOBA/USD
BOBA/USDT
BOND/USD
BOND/USDT
BTC/EUR
BTC/GBP
BTC/USD
BTC/USDC
BTC/USDT
BTRST/BTC
BTRST/EUR
BTRST/GBP
BTRST/USD
BTRST/USDT
BUSD/USD
C98/USD
C98/USDT
CBETH/ETH
CBETH/USD
CELO/BTC
CELO/EUR
CELO/GBP
CELO/USD
CELR/USD
CHZ/EUR
CHZ/GBP
CHZ/USD
CHZ/USDT
CLV/EUR
CLV/GBP
CLV/USD
CLV/USDT
COMP/BTC
COMP/USD
COTI/USD
COVAL/USD
COVAL/USDT
CRO/EUR
CRO/USD
CRO/USDT
CRPT/USD
CRV/BTC
CRV/EUR
CRV/GBP
CRV/USD
CTSI/BTC
CTSI/USD
CTX/EUR
CTX/USD
CTX/USDT
CVC/USD
CVC/USDC
CVX/USD
DAI/USD
DAI/USDC
DAR/USD
DASH/BTC
DASH/USD
DDX/EUR
DDX/USD
DDX/USDT
DESO/EUR
DESO/USD
DESO/USDT
DEXT/USD
DEXT/USDT
DIA/EUR
DIA/USD
DIA/USDT
DNT/USD
DNT/USDC
DOGE/BTC
DOGE/EUR
DOGE/GBP
DOGE/USD
DOGE/USDT
DOT/BTC
DOT/EUR
DOT/GBP
DOT/USD
DOT/USDT
DREP/USD
DREP/USDT
DYP/USD
DYP/USDT
ELA/USD
ELA/USDT
ENJ/BTC
ENJ/USD
ENJ/USDT
ENS/EUR
ENS/USD
ENS/USDT
EOS/BTC
EOS/EUR
EOS/USD
ERN/EUR
ERN/USD
ERN/USDT
ETC/BTC
ETC/EUR
ETC/GBP
ETC/USD
ETH/BTC
ETH/DAI
ETH/EUR
ETH/GBP
ETH/USD
ETH/USDC
ETH/USDT
FARM/USD
FARM/USDT
FET/USD
FET/USDT
FIDA/EUR
FIDA/USD
FIDA/USDT
FIL/BTC
FIL/EUR
FIL/GBP
FIL/USD
FIS/USD
FIS/USDT
FLOW/USD
FLOW/USDT
FORT/USD
FORT/USDT
FORTH/BTC
FORTH/EUR
FORTH/GBP
FORTH/USD
FOX/USD
FOX/USDT
FX/USD
GAL/USD
GAL/USDT
GALA/EUR
GALA/USD
GALA/USDT
GFI/USD
GLM/USD
GMT/USD
GMT/USDT
GNO/USD
GNO/USDT
GNT/USDC
GODS/USD
GRT/BTC
GRT/EUR
GRT/GBP
GRT/USD
GST/USD
GTC/USD
GUSD/USD
GYEN/USD
HBAR/USD
HBAR/USDT
HIGH/USD
HOPR/USD
HOPR/USDT
ICP/BTC
ICP/EUR
ICP/GBP
ICP/USD
ICP/USDT
IDEX/USD
IDEX/USDT
IMX/USD
IMX/USDT
INDEX/USD
INDEX/USDT
INJ/USD
INV/USD
IOTX/EUR
IOTX/USD
JASMY/USD
JASMY/USDT
JUP/USD
KEEP/USD
KNC/BTC
KNC/USD
KRL/EUR
KRL/USD
KRL/USDT
KSM/USD
KSM/USDT
LCX/EUR
LCX/USD
LCX/USDT
LINK/BTC
LINK/ETH
LINK/EUR
LINK/GBP
LINK/USD
LINK/USDT
LOKA/USD
LOOM/USD
LOOM/USDC
LPT/USD
LQTY/EUR
LQTY/USD
LQTY/USDT
LRC/BTC
LRC/USD
LRC/USDT
LTC/BTC
LTC/EUR
LTC/GBP
LTC/USD
MANA/BTC
MANA/ETH
MANA/EUR
MANA/USD
MANA/USDC
MASK/EUR
MASK/GBP
MASK/USD
MASK/USDT
